the distance from the sun versus time in 1995:
sidereal year = 365.256366
1 astronomical unit, in km = 1.495978707d8
1995 vernal equinox = 79.09514 ut
aphelion distance in au = 1.01674
perihelion perihelion distance in au = 0.98330
apdate = 184.125; july 4, 3. ut
peridate = 3.375; january 4, 9. ut

average velocity = 29.784735 km s-1

   date r (au)   r (km)
   0.5  0.98332  1.47103e+08
   1.5  0.98331  1.47101e+08
   2.5  0.98330  1.47100e+08
   3.5  0.98330  1.47100e+08
   4.5  0.98330  1.47100e+08
   5.5  0.98331  1.47101e+08
   6.5  0.98332  1.47103e+08
   7.5  0.98334  1.47106e+08
   8.5  0.98337  1.47110e+08
   9.5  0.98340  1.47114e+08
  10.5  0.98343  1.47119e+08
  11.5  0.98347  1.47125e+08
  12.5  0.98351  1.47131e+08
  13.5  0.98356  1.47139e+08
  14.5  0.98362  1.47147e+08
  15.5  0.98367  1.47156e+08
  16.5  0.98374  1.47165e+08
  17.5  0.98381  1.47176e+08
  18.5  0.98388  1.47187e+08
  19.5  0.98396  1.47198e+08
  20.5  0.98404  1.47211e+08
  21.5  0.98413  1.47224e+08
  22.5  0.98423  1.47238e+08
  23.5  0.98432  1.47253e+08
  24.5  0.98443  1.47268e+08
  25.5  0.98454  1.47284e+08
  26.5  0.98465  1.47301e+08
  27.5  0.98477  1.47319e+08
  28.5  0.98489  1.47337e+08
  29.5  0.98501  1.47356e+08
  30.5  0.98515  1.47376e+08
  31.5  0.98528  1.47396e+08
  32.5  0.98542  1.47417e+08
  33.5  0.98557  1.47438e+08
  34.5  0.98571  1.47461e+08
  35.5  0.98587  1.47484e+08
  36.5  0.98602  1.47507e+08
  37.5  0.98619  1.47531e+08
  38.5  0.98635  1.47556e+08
  39.5  0.98652  1.47582e+08
  40.5  0.98670  1.47608e+08
  41.5  0.98687  1.47634e+08
  42.5  0.98706  1.47662e+08
  43.5  0.98724  1.47689e+08
  44.5  0.98743  1.47718e+08
  45.5  0.98763  1.47747e+08
  46.5  0.98782  1.47776e+08
  47.5  0.98802  1.47806e+08
  48.5  0.98823  1.47837e+08
  49.5  0.98844  1.47868e+08
  50.5  0.98865  1.47900e+08
  51.5  0.98886  1.47932e+08
  52.5  0.98908  1.47965e+08
  53.5  0.98930  1.47998e+08
  54.5  0.98953  1.48031e+08
  55.5  0.98976  1.48065e+08
  56.5  0.98999  1.48100e+08
  57.5  0.99022  1.48135e+08
  58.5  0.99046  1.48170e+08
  59.5  0.99070  1.48206e+08
  60.5  0.99094  1.48243e+08
  61.5  0.99118  1.48279e+08
  62.5  0.99143  1.48316e+08
  63.5  0.99168  1.48354e+08
  64.5  0.99194  1.48391e+08
  65.5  0.99219  1.48430e+08
  66.5  0.99245  1.48468e+08
  67.5  0.99271  1.48507e+08
  68.5  0.99297  1.48546e+08
  69.5  0.99323  1.48585e+08
  70.5  0.99350  1.48625e+08
  71.5  0.99377  1.48665e+08
  72.5  0.99403  1.48705e+08
  73.5  0.99431  1.48746e+08
  74.5  0.99458  1.48787e+08
  75.5  0.99485  1.48828e+08
  76.5  0.99513  1.48869e+08
  77.5  0.99541  1.48911e+08
  78.5  0.99568  1.48952e+08
  79.5  0.99596  1.48994e+08
  80.5  0.99624  1.49036e+08
  81.5  0.99653  1.49078e+08
  82.5  0.99681  1.49120e+08
  83.5  0.99709  1.49163e+08
  84.5  0.99738  1.49205e+08
  85.5  0.99766  1.49248e+08
  86.5  0.99795  1.49291e+08
  87.5  0.99823  1.49334e+08
  88.5  0.99852  1.49377e+08
  89.5  0.99881  1.49419e+08
  90.5  0.99909  1.49462e+08
  91.5  0.99938  1.49505e+08
  92.5  0.99967  1.49548e+08
  93.5  0.99996  1.49592e+08
  94.5  1.00025  1.49635e+08
  95.5  1.00053  1.49678e+08
  96.5  1.00082  1.49721e+08
  97.5  1.00111  1.49763e+08
  98.5  1.00139  1.49806e+08
  99.5  1.00168  1.49849e+08
 100.5  1.00196  1.49892e+08
 101.5  1.00225  1.49934e+08
 102.5  1.00253  1.49977e+08
 103.5  1.00282  1.50019e+08
 104.5  1.00310  1.50061e+08
 105.5  1.00338  1.50104e+08
 106.5  1.00366  1.50145e+08
 107.5  1.00394  1.50187e+08
 108.5  1.00422  1.50229e+08
 109.5  1.00449  1.50270e+08
 110.5  1.00477  1.50311e+08
 111.5  1.00504  1.50352e+08
 112.5  1.00532  1.50393e+08
 113.5  1.00559  1.50433e+08
 114.5  1.00585  1.50474e+08
 115.5  1.00612  1.50514e+08
 116.5  1.00639  1.50553e+08
 117.5  1.00665  1.50593e+08
 118.5  1.00691  1.50632e+08
 119.5  1.00717  1.50671e+08
 120.5  1.00743  1.50709e+08
 121.5  1.00768  1.50747e+08
 122.5  1.00794  1.50785e+08
 123.5  1.00819  1.50822e+08
 124.5  1.00843  1.50859e+08
 125.5  1.00868  1.50896e+08
 126.5  1.00892  1.50932e+08
 127.5  1.00916  1.50968e+08
 128.5  1.00940  1.51004e+08
 129.5  1.00963  1.51039e+08
 130.5  1.00986  1.51074e+08
 131.5  1.01009  1.51108e+08
 132.5  1.01032  1.51142e+08
 133.5  1.01054  1.51175e+08
 134.5  1.01076  1.51208e+08
 135.5  1.01098  1.51240e+08
 136.5  1.01119  1.51272e+08
 137.5  1.01140  1.51303e+08
 138.5  1.01161  1.51334e+08
 139.5  1.01181  1.51365e+08
 140.5  1.01201  1.51395e+08
 141.5  1.01221  1.51424e+08
 142.5  1.01240  1.51453e+08
 143.5  1.01259  1.51481e+08
 144.5  1.01277  1.51509e+08
 145.5  1.01296  1.51536e+08
 146.5  1.01313  1.51563e+08
 147.5  1.01331  1.51589e+08
 148.5  1.01348  1.51614e+08
 149.5  1.01365  1.51639e+08
 150.5  1.01381  1.51663e+08
 151.5  1.01397  1.51687e+08
 152.5  1.01412  1.51710e+08
 153.5  1.01427  1.51733e+08
 154.5  1.01442  1.51755e+08
 155.5  1.01456  1.51776e+08
 156.5  1.01470  1.51797e+08
 157.5  1.01483  1.51817e+08
 158.5  1.01496  1.51836e+08
 159.5  1.01509  1.51855e+08
 160.5  1.01521  1.51873e+08
 161.5  1.01532  1.51890e+08
 162.5  1.01543  1.51907e+08
 163.5  1.01554  1.51923e+08
 164.5  1.01564  1.51938e+08
 165.5  1.01574  1.51953e+08
